 num     #instances         #bytes  class name (module)
 261:           310           7440  org.apache.thrift.meta_data.StructMetaData
 262:           462           7392  com.sun.proxy.$Proxy5
 263:           154           7392  java.nio.HeapByteBuffer (java.base@11.0.14)
 264:           225           7200  org.antlr.v4.runtime.atn.ArrayPredictionContext
 265:           179           7160  java.security.ProtectionDomain (java.base@11.0.14)
 266:           220           7040  jdk.internal.jimage.ImageReader$Directory (java.base@11.0.14)
 267:           439           7024  com.sleepycat.je.tree.INTargetRep$Default
 268:           219           7008  java.util.logging.LogManager$LogNode (java.logging@11.0.14)
 269:           175           7000  java.security.CodeSource (java.base@11.0.14)
 270:            94           6944  [Ljava.util.Hashtable$Entry; (java.base@11.0.14)
 271:           124           6944  java.util.logging.Logger (java.logging@11.0.14)
 272:           280           6720  io.grpc.netty.shaded.io.netty.buffer.LongPriorityQueue
 273:           167           6680  io.grpc.netty.shaded.io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 274:           139           6672  java.util.TreeMap (java.base@11.0.14)
 275:           208           6656  io.netty.util.AsciiString
 276:            75           6600  jdk.internal.reflect.DelegatingClassLoader (java.base@11.0.14)
 277:           205           6560  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@11.0.14)
 278:           136           6528  org.antlr.v4.runtime.atn.StarBlockStartState
 279:           269           6456  com.starrocks.transaction.TableCommitInfo
 280:           269           6456  com.starrocks.transaction.TransactionState$TxnCoordinator
 281:           267           6408  org.antlr.v4.runtime.misc.IntervalSet
 282:           225           6400  [Lorg.antlr.v4.runtime.atn.PredictionContext;
 283:           198           6336  com.google.gson.internal.ConstructorConstructor$14
 284:           285           6232  [Lcom.google.protobuf.Descriptors$FieldDescriptor;
 285:           105           6176  [Ljava.lang.invoke.MethodHandle; (java.base@11.0.14)
 286:           257           6168  com.sleepycat.je.utilint.LongStat
 287:           256           6144  io.opentelemetry.api.trace.ImmutableTraceFlags
 288:           255           6120  org.apache.logging.log4j.core.config.plugins.util.PluginType
 289:           375           6000  java.util.concurrent.atomic.AtomicInteger (java.base@11.0.14)
 290:           186           5952  com.sun.tools.javac.util.JCDiagnostic$Error (jdk.compiler@11.0.14)
 291:           248           5952  java.util.ImmutableCollections$Set12 (java.base@11.0.14)
 292:           148           5920  org.antlr.v4.runtime.atn.LoopEndState
 293:           244           5856  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@11.0.14)
 294:           181           5792  com.starrocks.thrift.TUniqueId
 295:            10           5760  io.grpc.netty.shaded.io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
 296:           177           5664  com.starrocks.common.ErrorCode
 297:           233           5592  java.util.concurrent.CopyOnWriteArrayList (java.base@11.0.14)
 298:            80           5440  [Lio.opencensus.implcore.trace.export.InProcessSampledSpanStoreImpl$Bucket;
 299:           136           5440  org.antlr.v4.runtime.atn.StarLoopbackState
 300:           335           5360  io.opencensus.trace.AutoValue_AttributeValue_AttributeValueBoolean
 301:           335           5360  io.opencensus.trace.AutoValue_AttributeValue_AttributeValueLong
 302:           161           5152  java.util.Hashtable$Entry (java.base@11.0.14)
 303:           160           5120  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@11.0.14)
 304:           126           5040  java.security.AccessControlContext (java.base@11.0.14)
 305:           157           5024  jdk.internal.reflect.UnsafeLongFieldAccessorImpl (java.base@11.0.14)
 306:           125           5000  java.util.logging.Logger$ConfigurationData (java.logging@11.0.14)
 307:           307           4912  java.util.concurrent.CountDownLatch (java.base@11.0.14)
 308:            50           4800  com.starrocks.catalog.system.SystemTable
 309:           198           4752  com.google.gson.internal.UnsafeAllocator$1
 310:           292           4672  com.sun.proxy.$Proxy20
 311:           194           4656  com.google.gson.internal.ConstructorConstructor$3
 312:            53           4632  [Lcom.google.common.collect.ImmutableMapEntry;
 313:            96           4608  com.starrocks.common.path.PathTrie$TrieNode
 314:           192           4608  io.netty.buffer.LongPriorityQueue
 315:            96           4608  io.netty.buffer.PoolChunkList
 316:           114           4560  io.grpc.netty.shaded.io.netty.handler.codec.http2.HpackEncoder$HeaderEntry
 317:            94           4512  java.util.Hashtable (java.base@11.0.14)
 318:           140           4480  com.baidu.bjf.remoting.protobuf.utils.compiler.JdkCompiler$JavaFileObjectImpl
 319:           140           4480  io.grpc.netty.shaded.io.netty.util.internal.LongAdderCounter
 320:           139           4448  jdk.internal.reflect.UnsafeBooleanFieldAccessorImpl (java.base@11.0.14)
 321:           137           4384  com.google.protobuf.GeneratedMessageV3$FieldAccessorTable
 322:           135           4320  java.lang.module.ModuleDescriptor$Requires (java.base@11.0.14)
 323:           269           4304  com.starrocks.transaction.TransactionChecker
 324:           179           4296  com.starrocks.sql.optimizer.rule.RuleType
 325:           178           4272  com.starrocks.sql.optimizer.rewrite.ScalarOperatorEvaluator$FunctionInvoker
 326:           178           4272  com.starrocks.sql.optimizer.rewrite.ScalarOperatorEvaluator$FunctionSignature
 327:           217           4176  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@11.0.14)
 328:           129           4128  javax.management.MBeanAttributeInfo (java.management@11.0.14)
 329:           103           4120  java.util.IdentityHashMap (java.base@11.0.14)
 330:             1           4112  [Lcom.sleepycat.je.txn.Txn;
 331:           256           4096  java.lang.Byte (java.base@11.0.14)
 332:           256           4096  java.lang.Short (java.base@11.0.14)
 333:             1           4024  [Lorg.antlr.v4.runtime.misc.Interval;
 334:           100           4000  java.io.ObjectStreamField (java.base@11.0.14)
 335:           166           3984  java.util.regex.Pattern$BmpCharProperty (java.base@11.0.14)
 336:           166           3984  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@11.0.14)
 337:            62           3968  java.lang.module.ModuleDescriptor (java.base@11.0.14)
 338:            99           3960  com.starrocks.common.ThreadPoolManager$1
 339:            55           3960  java.util.concurrent.ThreadPoolExecutor (java.base@11.0.14)
 340:            74           3848  [Ljavax.management.MBeanAttributeInfo; (java.management@11.0.14)
 341:            60           3840  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@11.0.14)
 342:           137           3800  [Lcom.google.protobuf.GeneratedMessageV3$FieldAccessorTable$FieldAccessor;
 343:             2           3736  [Lorg.antlr.v4.runtime.atn.RuleStartState;
 344:             2           3736  [Lorg.antlr.v4.runtime.atn.RuleStopState;
 345:            42           3696  java.util.regex.Pattern (java.base@11.0.14)
 346:           115           3680  java.util.concurrent.atomic.LongAdder (java.base@11.0.14)
 347:           114           3648  com.sun.tools.javac.parser.Tokens$TokenKind (jdk.compiler@11.0.14)
 348:            24           3648  io.netty.channel.nio.NioEventLoop
 349:           112           3584  com.starrocks.sql.parser.NodePosition
 350:            28           3584  io.grpc.netty.shaded.io.netty.util.internal.InternalThreadLocalMap
 351:           112           3584  org.apache.logging.slf4j.Log4jLogger
 352:            73           3504  javax.management.MBeanInfo (java.management@11.0.14)
 353:             2           3488  [Lorg.antlr.v4.runtime.dfa.DFA;
 354:           109           3488  com.sun.tools.javac.util.JCDiagnostic$Fragment (jdk.compiler@11.0.14)
 355:            24           3456  java.text.DecimalFormat (java.base@11.0.14)
 356:            61           3416  jdk.internal.module.ModuleReferenceImpl (java.base@11.0.14)
 357:           141           3384  java.util.ImmutableCollections$SetN (java.base@11.0.14)
 358:           141           3384  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@11.0.14)
 359:           139           3336  java.util.regex.Pattern$GroupTail (java.base@11.0.14)
 360:           123           3312  [Ljavax.management.ObjectName$Property; (java.management@11.0.14)
 361:           138           3312  java.util.regex.Pattern$GroupHead (java.base@11.0.14)
 362:           136           3264  com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper
 363:            80           3200  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@11.0.14)
 364:           115           3184  [Ljava.security.ProtectionDomain; (java.base@11.0.14)
 365:             6           3168  [Ljava.util.TimerTask; (java.base@11.0.14)
 366:           132           3168  javax.management.ObjectName$Property (java.management@11.0.14)
 367:            97           3104  java.security.Permissions (java.base@11.0.14)
 368:            35           3080  sun.nio.ch.EPollSelectorImpl (java.base@11.0.14)
 369:            96           3072  io.netty.handler.codec.CodecOutputList
